Date,Ticker,Price,DailyRetMult,CloseLog10,DailyRetLogDiff
7/17/2018,VDE,103.73,xx,,
7/16/2018,VDE,104.11,xx,,
7/13/2018,VDE,105.38,xx,,
7/12/2018,VDE,104.85,xx,,
7/11/2018,VDE,104.76,xx,,
7/10/2018,VDE,107.1,xx,,
7/9/2018,VDE,106.43,xx,,
7/6/2018,VDE,104.75,xx,,
7/5/2018,VDE,103.98,xx,,
7/3/2018,VDE,104.16,xx,,
7/2/2018,VDE,103.31,xx,,
6/29/2018,VDE,105.08,xx,,
6/28/2018,VDE,104.38,xx,,
6/27/2018,VDE,104.614,xx,,
6/26/2018,VDE,103.1232,xx,,
6/25/2018,VDE,101.5728,xx,,
6/22/2018,VDE,103.8984,xx,,
6/21/2018,VDE,101.5032,xx,,
6/20/2018,VDE,103.6301,xx,,
6/19/2018,VDE,102.9841,xx,,
6/18/2018,VDE,103.153,xx,,
6/15/2018,VDE,101.9504,xx,,
6/14/2018,VDE,104.2065,xx,,
6/13/2018,VDE,104.5345,xx,,
6/12/2018,VDE,104.9022,xx,,
6/11/2018,VDE,105.6277,xx,,
6/8/2018,VDE,105.2103,xx,,
6/7/2018,VDE,105.5383,xx,,
6/6/2018,VDE,103.799,xx,,
6/5/2018,VDE,103.4313,xx,,
6/4/2018,VDE,103.6698,xx,,
6/1/2018,VDE,104.7432,xx,,
5/31/2018,VDE,104.3158,xx,,
5/30/2018,VDE,105.1904,xx,,
5/29/2018,VDE,101.9007,xx,,
5/25/2018,VDE,102.1393,xx,,
5/24/2018,VDE,104.8823,xx,,
5/23/2018,VDE,106.6017,xx,,
5/22/2018,VDE,106.7309,xx,,
5/21/2018,VDE,108.2515,xx,,
5/18/2018,VDE,107.1782,xx,,
5/17/2018,VDE,107.9236,xx,,
5/16/2018,VDE,106.2241,xx,,
5/15/2018,VDE,105.7073,xx,,
5/14/2018,VDE,105.6973,xx,,
5/11/2018,VDE,104.932,xx,,
5/10/2018,VDE,104.932,xx,,
5/9/2018,VDE,104.1668,xx,,
5/8/2018,VDE,102.189,xx,,
5/7/2018,VDE,101.1951,xx,,
5/4/2018,VDE,100.9665,xx,,
5/3/2018,VDE,100.3006,xx,,
5/2/2018,VDE,100.6485,xx,,
5/1/2018,VDE,100.1019,xx,,
4/30/2018,VDE,100.6982,xx,,
4/27/2018,VDE,100.7181,xx,,
4/26/2018,VDE,101.9604,xx,,
4/25/2018,VDE,100.4994,xx,,
4/24/2018,VDE,99.58505,xx,,
4/23/2018,VDE,100.6882,xx,,
4/20/2018,VDE,100.082,xx,,
4/19/2018,VDE,100.5491,xx,,
4/18/2018,VDE,100.4597,xx,,
4/17/2018,VDE,98.77008,xx,,
4/16/2018,VDE,98.30297,xx,,
4/13/2018,VDE,97.39855,xx,,
4/12/2018,VDE,96.23574,xx,,
4/11/2018,VDE,96.2258,xx,,
4/10/2018,VDE,95.14249,xx,,
4/9/2018,VDE,91.92237,xx,,
4/6/2018,VDE,91.56458,xx,,
4/5/2018,VDE,93.4728,xx,,
4/4/2018,VDE,91.68385,xx,,
4/3/2018,VDE,91.74348,xx,,
4/2/2018,VDE,89.83526,xx,,
3/29/2018,VDE,91.80311,xx,,
3/28/2018,VDE,89.82532,xx,,
3/27/2018,VDE,91.48508,xx,,
3/26/2018,VDE,92.49881,xx,,
3/23/2018,VDE,90.93845,xx,,
3/22/2018,VDE,91.53476,xx,,
